#Step   Etot   PotE Ktot  T
138 -1.836084 -2.339120  0.503036 0.50
139 -1.836085 -2.343282  0.507197 0.51
140 -1.836080 -2.347138  0.511058 0.51
141 -1.836085 -2.350647  0.514562 0.51
142 -1.836081 -2.353748  0.517666 0.52
143 -1.836083 -2.356421  0.520339 0.52
144 -1.836084 -2.358638  0.522554 0.52
145 -1.836080 -2.360375  0.524295 0.52
146 -1.836085 -2.361634  0.525549 0.53
147 -1.836083 -2.362392  0.526309 0.53
148 -1.836080 -2.362658  0.526578 0.53
149 -1.836073 -2.362447  0.526374 0.53
150 -1.836073 -2.361801  0.525728 0.53
151 -1.836077 -2.360771  0.524694 0.52
152 -1.836071 -2.359423  0.523353 0.52
153 -1.836058 -2.357864  0.521806 0.52
154 -1.836052 -2.356232  0.520180 0.52
155 -1.836045 -2.354662  0.518617 0.52
156 -1.836034 -2.353295  0.517261 0.52
157 -1.836032 -2.352281  0.516249 0.52
158 -1.836022 -2.351715  0.515692 0.52
159 -1.836023 -2.351691  0.515668 0.52
160 -1.836019 -2.352226  0.516207 0.52
161 -1.836017 -2.353312  0.517295 0.52
162 -1.836017 -2.354892  0.518875 0.52
163 -1.836027 -2.356886  0.520859 0.52
164 -1.836031 -2.359171  0.523140 0.52
165 -1.836027 -2.361632  0.525604 0.53
166 -1.836030 -2.364173  0.528143 0.53
167 -1.836032 -2.366692  0.530661 0.53
168 -1.836032 -2.369109  0.533077 0.53
169 -1.836032 -2.371362  0.535330 0.54
170 -1.836028 -2.373402  0.537374 0.54
171 -1.836032 -2.375209  0.539177 0.54
172 -1.836029 -2.376746  0.540716 0.54
173 -1.836030 -2.378006  0.541976 0.54
174 -1.836027 -2.378972  0.542945 0.54
175 -1.836028 -2.379643  0.543616 0.54
176 -1.836025 -2.380009  0.543983 0.54
177 -1.836023 -2.380069  0.544047 0.54
178 -1.836014 -2.379825  0.543811 0.54
179 -1.836008 -2.379295  0.543287 0.54
180 -1.836006 -2.378505  0.542499 0.54
181 -1.836011 -2.377493  0.541482 0.54
182 -1.836005 -2.376292  0.540288 0.54
183 -1.835997 -2.374980  0.538983 0.54
184 -1.835983 -2.373635  0.537652 0.54
185 -1.835982 -2.372371  0.536389 0.54
186 -1.835981 -2.371279  0.535298 0.54
187 -1.835964 -2.370449  0.534485 0.53
188 -1.835967 -2.370011  0.534045 0.53
189 -1.835960 -2.370018  0.534057 0.53
190 -1.835956 -2.370534  0.534577 0.53
191 -1.835954 -2.371583  0.535629 0.54
192 -1.835952 -2.373154  0.537202 0.54
193 -1.835956 -2.375212  0.539257 0.54
194 -1.835966 -2.377689  0.541723 0.54
195 -1.835965 -2.380477  0.544512 0.54
196 -1.835966 -2.383489  0.547523 0.55
197 -1.835972 -2.386623  0.550651 0.55
198 -1.835978 -2.389771  0.553793 0.55
199 -1.835983 -2.392838  0.556855 0.56
200 -1.835982 -2.395735  0.559753 0.56
201 -1.835980 -2.398398  0.562418 0.56
202 -1.835980 -2.400771  0.564791 0.56
203 -1.835979 -2.402807  0.566828 0.57
204 -1.835978 -2.404474  0.568495 0.57
205 -1.835979 -2.405750  0.569771 0.57
206 -1.835977 -2.406618  0.570641 0.57
207 -1.835969 -2.407072  0.571103 0.57
208 -1.835963 -2.407123  0.571159 0.57
209 -1.835965 -2.406787  0.570823 0.57
210 -1.835964 -2.406075  0.570111 0.57
211 -1.835962 -2.405012  0.569050 0.57
212 -1.835958 -2.403626  0.567668 0.57
213 -1.835959 -2.401960  0.566002 0.57
214 -1.835951 -2.400040  0.564088 0.56
215 -1.835944 -2.397913  0.561969 0.56
216 -1.835939 -2.395628  0.559689 0.56
217 -1.835932 -2.393225  0.557293 0.56
218 -1.835924 -2.390756  0.554832 0.55
219 -1.835921 -2.388280  0.552359 0.55
220 -1.835915 -2.385847  0.549932 0.55
221 -1.835914 -2.383527  0.547613 0.55
222 -1.835912 -2.381385  0.545473 0.55
223 -1.835912 -2.379499  0.543587 0.54
224 -1.835908 -2.377941  0.542033 0.54
225 -1.835898 -2.376791  0.540894 0.54
226 -1.835891 -2.376135  0.540243 0.54
227 -1.835883 -2.376032  0.540149 0.54
228 -1.835881 -2.376542  0.540661 0.54
229 -1.835881 -2.377687  0.541807 0.54
230 -1.835885 -2.379472  0.543587 0.54
231 -1.835886 -2.381860  0.545974 0.55
232 -1.835893 -2.384806  0.548913 0.55
233 -1.835894 -2.388220  0.552326 0.55
234 -1.835903 -2.392018  0.556116 0.56
235 -1.835912 -2.396089  0.560177 0.56
236 -1.835918 -2.400320  0.564403 0.56
237 -1.835926 -2.404614  0.568689 0.57
238 -1.835935 -2.408877  0.572942 0.57
239 -1.835936 -2.413019  0.577083 0.58
240 -1.835931 -2.416977  0.581046 0.58
241 -1.835930 -2.420713  0.584783 0.58
242 -1.835933 -2.424191  0.588259 0.59
243 -1.835925 -2.427375  0.591450 0.59
244 -1.835922 -2.430270  0.594348 0.59
245 -1.835926 -2.432877  0.596951 0.60
246 -1.835927 -2.435191  0.599264 0.60
247 -1.835921 -2.437221  0.601300 0.60
248 -1.835921 -2.438997  0.603076 0.60
249 -1.835920 -2.440530  0.604611 0.60
250 -1.835918 -2.441845  0.605927 0.61
251 -1.835916 -2.442964  0.607048 0.61
252 -1.835914 -2.443912  0.607998 0.61
253 -1.835912 -2.444714  0.608802 0.61
254 -1.835913 -2.445396  0.609483 0.61
255 -1.835914 -2.445978  0.610064 0.61
256 -1.835913 -2.446479  0.610565 0.61
257 -1.835909 -2.446916  0.611006 0.61
258 -1.835909 -2.447310  0.611401 0.61
259 -1.835906 -2.447667  0.611761 0.61
260 -1.835911 -2.448003  0.612092 0.61
261 -1.835916 -2.448311  0.612395 0.61
262 -1.835914 -2.448578  0.612664 0.61
263 -1.835916 -2.448802  0.612886 0.61
264 -1.835912 -2.448955  0.613043 0.61
265 -1.835917 -2.449025  0.613108 0.61
266 -1.835917 -2.448967  0.613050 0.61
267 -1.835922 -2.448754  0.612832 0.61
268 -1.835928 -2.448340  0.612412 0.61
269 -1.835926 -2.447673  0.611748 0.61
270 -1.835931 -2.446727  0.610796 0.61
271 -1.835936 -2.445452  0.609516 0.61
272 -1.835933 -2.443804  0.607871 0.61
273 -1.835938 -2.441769  0.605832 0.61
274 -1.835936 -2.439313  0.603377 0.60
275 -1.835931 -2.436426  0.600495 0.60
276 -1.835928 -2.433116  0.597188 0.60
277 -1.835925 -2.429393  0.593469 0.59
278 -1.835920 -2.425284  0.589364 0.59
279 -1.835909 -2.420822  0.584912 0.58
280 -1.835906 -2.416072  0.580166 0.58
281 -1.835896 -2.411085  0.575189 0.58
282 -1.835894 -2.405948  0.570054 0.57
283 -1.835886 -2.400731  0.564845 0.56
284 -1.835873 -2.395524  0.559651 0.56
285 -1.835870 -2.390438  0.554569 0.55
286 -1.835864 -2.385559  0.549695 0.55
287 -1.835858 -2.380988  0.545130 0.55
288 -1.835855 -2.376826  0.540971 0.54
289 -1.835850 -2.373161  0.537311 0.54
290 -1.835845 -2.370081  0.534235 0.53
291 -1.835847 -2.367666  0.531819 0.53
292 -1.835847 -2.365971  0.530124 0.53
293 -1.835843 -2.365037  0.529194 0.53
294 -1.835840 -2.364895  0.529055 0.53
295 -1.835836 -2.365549  0.529712 0.53
296 -1.835839 -2.366987  0.531148 0.53
297 -1.835843 -2.369165  0.533322 0.53
298 -1.835857 -2.372029  0.536173 0.54
299 -1.835863 -2.375482  0.539619 0.54
300 -1.835873 -2.379435  0.543562 0.54
301 -1.835884 -2.383770  0.547886 0.55
302 -1.835890 -2.388357  0.552467 0.55
303 -1.835900 -2.393068  0.557169 0.56
304 -1.835912 -2.397763  0.561852 0.56
305 -1.835924 -2.402296  0.566372 0.57
306 -1.835935 -2.406524  0.570588 0.57
307 -1.835949 -2.410311  0.574361 0.57
308 -1.835950 -2.413510  0.577559 0.58
309 -1.835958 -2.416018  0.580061 0.58
310 -1.835967 -2.417724  0.581757 0.58
311 -1.835980 -2.418537  0.582557 0.58
312 -1.835992 -2.418385  0.582393 0.58
313 -1.835996 -2.417219  0.581223 0.58
314 -1.835996 -2.415031  0.579035 0.58
315 -1.836001 -2.411856  0.575855 0.58
316 -1.835990 -2.407739  0.571749 0.57
317 -1.835982 -2.402806  0.566824 0.57
318 -1.835970 -2.397205  0.561234 0.56
319 -1.835959 -2.391133  0.555174 0.56
320 -1.835941 -2.384816  0.548875 0.55
321 -1.835924 -2.378522  0.542597 0.54
322 -1.835905 -2.372518  0.536613 0.54
323 -1.835895 -2.367084  0.531189 0.53
324 -1.835883 -2.362454  0.526571 0.53
325 -1.835877 -2.358839  0.522962 0.52
326 -1.835869 -2.356377  0.520507 0.52
327 -1.835872 -2.355157  0.519286 0.52
328 -1.835870 -2.355177  0.519307 0.52
329 -1.835877 -2.356396  0.520519 0.52
330 -1.835886 -2.358701  0.522815 0.52
331 -1.835892 -2.361943  0.526051 0.53
332 -1.835913 -2.365974  0.530061 0.53
333 -1.835915 -2.370586  0.534671 0.53
334 -1.835924 -2.375637  0.539713 0.54
335 -1.835930 -2.380958  0.545029 0.55
336 -1.835944 -2.386423  0.550480 0.55
337 -1.835949 -2.391893  0.555944 0.56
338 -1.835951 -2.397270  0.561319 0.56
339 -1.835955 -2.402470  0.566515 0.57
340 -1.835958 -2.407415  0.571457 0.57
341 -1.835961 -2.412037  0.576076 0.58
342 -1.835959 -2.416268  0.580310 0.58
343 -1.835964 -2.420065  0.584102 0.58
344 -1.835964 -2.423363  0.587399 0.59
345 -1.835973 -2.426127  0.590154 0.59
346 -1.835975 -2.428299  0.592324 0.59
347 -1.835978 -2.429857  0.593879 0.59
348 -1.835979 -2.430775  0.594797 0.59
349 -1.835975 -2.431049  0.595074 0.60
350 -1.835978 -2.430700  0.594722 0.59
351 -1.835974 -2.429746  0.593772 0.59
352 -1.835972 -2.428247  0.592274 0.59
353 -1.835969 -2.426267  0.590298 0.59
354 -1.835963 -2.423893  0.587930 0.59
355 -1.835958 -2.421227  0.585269 0.59
356 -1.835954 -2.418376  0.582422 0.58
357 -1.835944 -2.415445  0.579501 0.58
358 -1.835930 -2.412541  0.576611 0.58
359 -1.835917 -2.409768  0.573851 0.57
360 -1.835918 -2.407220  0.571302 0.57
361 -1.835915 -2.404943  0.569028 0.57
362 -1.835909 -2.402978  0.567069 0.57
