#Step   Etot   PotE Ktot  T
604 -1.835915 -2.370023  0.534108 0.53
605 -1.835921 -2.374003  0.538082 0.54
606 -1.835929 -2.378242  0.542312 0.54
607 -1.835934 -2.382633  0.546699 0.55
608 -1.835939 -2.387096  0.551156 0.55
609 -1.835942 -2.391556  0.555614 0.56
610 -1.835940 -2.395958  0.560018 0.56
611 -1.835939 -2.400263  0.564324 0.56
612 -1.835937 -2.404436  0.568500 0.57
613 -1.835940 -2.408455  0.572515 0.57
614 -1.835946 -2.412291  0.576345 0.58
615 -1.835949 -2.415914  0.579966 0.58
616 -1.835949 -2.419303  0.583354 0.58
617 -1.835947 -2.422433  0.586487 0.59
618 -1.835950 -2.425295  0.589345 0.59
619 -1.835947 -2.427860  0.591913 0.59
620 -1.835952 -2.430132  0.594180 0.59
621 -1.835944 -2.432083  0.596139 0.60
622 -1.835937 -2.433729  0.597792 0.60
623 -1.835936 -2.435081  0.599145 0.60
624 -1.835937 -2.436149  0.600211 0.60
625 -1.835936 -2.436943  0.601007 0.60
626 -1.835929 -2.437481  0.601552 0.60
627 -1.835927 -2.437795  0.601867 0.60
628 -1.835928 -2.437902  0.601974 0.60
629 -1.835927 -2.437820  0.601893 0.60
630 -1.835928 -2.437570  0.601641 0.60
631 -1.835925 -2.437161  0.601236 0.60
632 -1.835924 -2.436615  0.600691 0.60
633 -1.835923 -2.435942  0.600019 0.60
634 -1.835928 -2.435157  0.599230 0.60
635 -1.835929 -2.434265  0.598335 0.60
636 -1.835931 -2.433278  0.597347 0.60
637 -1.835933 -2.432210  0.596277 0.60
638 -1.835935 -2.431073  0.595138 0.60
639 -1.835934 -2.429881  0.593947 0.59
640 -1.835925 -2.428643  0.592718 0.59
641 -1.835930 -2.427398  0.591469 0.59
642 -1.835929 -2.426144  0.590215 0.59
643 -1.835936 -2.424909  0.588973 0.59
644 -1.835938 -2.423693  0.587755 0.59
645 -1.835935 -2.422507  0.586572 0.59
646 -1.835938 -2.421367  0.585429 0.59
647 -1.835944 -2.420270  0.584326 0.58
648 -1.835942 -2.419201  0.583259 0.58
649 -1.835949 -2.418163  0.582214 0.58
650 -1.835956 -2.417131  0.581176 0.58
651 -1.835960 -2.416081  0.580121 0.58
652 -1.835957 -2.414981  0.579024 0.58
653 -1.835972 -2.413830  0.577859 0.58
654 -1.835973 -2.412574  0.576600 0.58
655 -1.835974 -2.411202  0.575228 0.58
656 -1.835980 -2.409707  0.573727 0.57
657 -1.835980 -2.408072  0.572092 0.57
658 -1.835982 -2.406308  0.570326 0.57
659 -1.835975 -2.404421  0.568446 0.57
660 -1.835965 -2.402442  0.566477 0.57
661 -1.835954 -2.400411  0.564457 0.56
662 -1.835949 -2.398378  0.562430 0.56
663 -1.835945 -2.396394  0.560449 0.56
664 -1.835938 -2.394509  0.558571 0.56
665 -1.835937 -2.392791  0.556853 0.56
666 -1.835929 -2.391283  0.555355 0.56
667 -1.835928 -2.390056  0.554128 0.55
668 -1.835923 -2.389144  0.553221 0.55
669 -1.835916 -2.388588  0.552673 0.55
670 -1.835922 -2.388434  0.552512 0.55
671 -1.835916 -2.388676  0.552759 0.55
672 -1.835916 -2.389338  0.553422 0.55
673 -1.835914 -2.390412  0.554498 0.55
674 -1.835913 -2.391887  0.555974 0.56
675 -1.835912 -2.393740  0.557827 0.56
676 -1.835919 -2.395947  0.560028 0.56
677 -1.835925 -2.398462  0.562537 0.56
678 -1.835933 -2.401243  0.565310 0.57
679 -1.835941 -2.404238  0.568297 0.57
680 -1.835939 -2.407384  0.571445 0.57
681 -1.835940 -2.410635  0.574695 0.57
682 -1.835954 -2.413943  0.577989 0.58
683 -1.835955 -2.417222  0.581267 0.58
684 -1.835958 -2.420427  0.584469 0.58
685 -1.835964 -2.423500  0.587536 0.59
686 -1.835965 -2.426376  0.590411 0.59
687 -1.835970 -2.429010  0.593039 0.59
688 -1.835976 -2.431346  0.595370 0.60
689 -1.835976 -2.433332  0.597356 0.60
690 -1.835981 -2.434937  0.598957 0.60
691 -1.835985 -2.436120  0.600135 0.60
692 -1.835987 -2.436848  0.600861 0.60
693 -1.835991 -2.437103  0.601112 0.60
694 -1.835994 -2.436867  0.600874 0.60
695 -1.835994 -2.436133  0.600139 0.60
696 -1.835994 -2.434905  0.598911 0.60
697 -1.835998 -2.433200  0.597202 0.60
698 -1.835999 -2.431033  0.595034 0.60
699 -1.835996 -2.428437  0.592441 0.59
700 -1.835999 -2.425462  0.589463 0.59
701 -1.835998 -2.422153  0.586156 0.59
702 -1.835999 -2.418578  0.582579 0.58
703 -1.835989 -2.414794  0.578805 0.58
704 -1.835980 -2.410889  0.574910 0.57
705 -1.835977 -2.406954  0.570977 0.57
706 -1.835972 -2.403066  0.567094 0.57
707 -1.835964 -2.399315  0.563350 0.56
708 -1.835959 -2.395794  0.559835 0.56
709 -1.835954 -2.392591  0.556636 0.56
710 -1.835950 -2.389787  0.553838 0.55
711 -1.835948 -2.387467  0.551519 0.55
712 -1.835942 -2.385693  0.549752 0.55
713 -1.835941 -2.384543  0.548602 0.55
714 -1.835941 -2.384066  0.548125 0.55
715 -1.835939 -2.384307  0.548368 0.55
716 -1.835935 -2.385303  0.549368 0.55
717 -1.835934 -2.387083  0.551148 0.55
718 -1.835932 -2.389654  0.553722 0.55
719 -1.835930 -2.393016  0.557086 0.56
720 -1.835924 -2.397150  0.561225 0.56
721 -1.835927 -2.402034  0.566107 0.57
722 -1.835929 -2.407611  0.571682 0.57
723 -1.835931 -2.413817  0.577886 0.58
724 -1.835934 -2.420571  0.584637 0.58
725 -1.835948 -2.427791  0.591842 0.59
726 -1.835952 -2.435347  0.599395 0.60
727 -1.835960 -2.443139  0.607179 0.61
728 -1.835964 -2.451039  0.615075 0.62
729 -1.835967 -2.458926  0.622959 0.62
730 -1.835973 -2.466686  0.630712 0.63
731 -1.835980 -2.474197  0.638217 0.64
732 -1.835978 -2.481343  0.645365 0.65
733 -1.835978 -2.488033  0.652055 0.65
734 -1.835980 -2.494180  0.658200 0.66
735 -1.835986 -2.499708  0.663722 0.66
736 -1.835994 -2.504552  0.668558 0.67
737 -1.835991 -2.508646  0.672654 0.67
738 -1.835985 -2.511959  0.675974 0.68
739 -1.835988 -2.514478  0.678489 0.68
740 -1.835981 -2.516168  0.680188 0.68
741 -1.835980 -2.517047  0.681067 0.68
742 -1.835981 -2.517118  0.681137 0.68
743 -1.835982 -2.516401  0.680420 0.68
744 -1.835982 -2.514929  0.678947 0.68
745 -1.835979 -2.512740  0.676760 0.68
746 -1.835971 -2.509881  0.673910 0.67
747 -1.835960 -2.506411  0.670452 0.67
748 -1.835961 -2.502408  0.666446 0.67
749 -1.835958 -2.497915  0.661957 0.66
750 -1.835955 -2.493003  0.657048 0.66
751 -1.835949 -2.487730  0.651781 0.65
752 -1.835946 -2.482162  0.646216 0.65
753 -1.835941 -2.476351  0.640410 0.64
754 -1.835933 -2.470350  0.634417 0.63
755 -1.835936 -2.464226  0.628290 0.63
756 -1.835931 -2.458010  0.622079 0.62
757 -1.835923 -2.451760  0.615838 0.62
758 -1.835925 -2.445544  0.609619 0.61
759 -1.835922 -2.439400  0.603479 0.60
760 -1.835921 -2.433397  0.597476 0.60
761 -1.835923 -2.427592  0.591669 0.59
762 -1.835914 -2.422034  0.586119 0.59
763 -1.835911 -2.416795  0.580883 0.58
764 -1.835904 -2.411917  0.576013 0.58
765 -1.835897 -2.407451  0.571555 0.57
766 -1.835898 -2.403441  0.567543 0.57
767 -1.835890 -2.399892  0.564002 0.56
768 -1.835885 -2.396826  0.560941 0.56
769 -1.835884 -2.394238  0.558354 0.56
770 -1.835884 -2.392104  0.556220 0.56
771 -1.835893 -2.390396  0.554503 0.55
772 -1.835900 -2.389053  0.553153 0.55
773 -1.835905 -2.388011  0.552107 0.55
774 -1.835910 -2.387201  0.551291 0.55
775 -1.835919 -2.386543  0.550624 0.55
776 -1.835922 -2.385945  0.550023 0.55
777 -1.835917 -2.385318  0.549400 0.55
778 -1.835923 -2.384597  0.548675 0.55
779 -1.835927 -2.383697  0.547770 0.55
780 -1.835934 -2.382556  0.546623 0.55
781 -1.835936 -2.381119  0.545182 0.55
782 -1.835935 -2.379353  0.543418 0.54
783 -1.835932 -2.377253  0.541321 0.54
784 -1.835936 -2.374842  0.538906 0.54
785 -1.835927 -2.372143  0.536216 0.54
786 -1.835926 -2.369250  0.533324 0.53
787 -1.835918 -2.366251  0.530333 0.53
788 -1.835901 -2.363277  0.527376 0.53
789 -1.835892 -2.360507  0.524615 0.52
790 -1.835880 -2.358111  0.522231 0.52
791 -1.835868 -2.356289  0.520421 0.52
792 -1.835859 -2.355234  0.519375 0.52
793 -1.835848 -2.355109  0.519261 0.52
794 -1.835841 -2.356047  0.520206 0.52
795 -1.835844 -2.358121  0.522277 0.52
796 -1.835841 -2.361307  0.525467 0.53
797 -1.835850 -2.365543  0.529694 0.53
798 -1.835854 -2.370663  0.534809 0.53
799 -1.835879 -2.376490  0.540612 0.54
800 -1.835892 -2.382767  0.546874 0.55
801 -1.835900 -2.389264  0.553364 0.55
802 -1.835905 -2.395770  0.559864 0.56
803 -1.835910 -2.402100  0.566189 0.57
804 -1.835920 -2.408114  0.572193 0.57
805 -1.835917 -2.413690  0.577772 0.58
806 -1.835917 -2.418779  0.582862 0.58
807 -1.835910 -2.423344  0.587434 0.59
808 -1.835905 -2.427392  0.591487 0.59
809 -1.835903 -2.430945  0.595042 0.60
810 -1.835909 -2.434044  0.598135 0.60
811 -1.835904 -2.436714  0.600810 0.60
812 -1.835895 -2.439013  0.603118 0.60
813 -1.835891 -2.441001  0.605110 0.61
814 -1.835879 -2.442714  0.606835 0.61
815 -1.835876 -2.444212  0.608337 0.61
816 -1.835873 -2.445526  0.609653 0.61
817 -1.835871 -2.446687  0.610817 0.61
818 -1.835869 -2.447719  0.611850 0.61
819 -1.835860 -2.448631  0.612771 0.61
820 -1.835854 -2.449442  0.613588 0.61
821 -1.835856 -2.450163  0.614307 0.61
822 -1.835854 -2.450780  0.614926 0.61
823 -1.835854 -2.451297  0.615443 0.62
824 -1.835856 -2.451709  0.615853 0.62
825 -1.835859 -2.452010  0.616151 0.62
826 -1.835853 -2.452186  0.616333 0.62
827 -1.835863 -2.452259  0.616395 0.62
828 -1.835855 -2.452195  0.616340 0.62
829 -1.835862 -2.452032  0.616170 0.62
830 -1.835864 -2.451757  0.615893 0.62
831 -1.835871 -2.451393  0.615523 0.62
832 -1.835869 -2.450944  0.615075 0.62
833 -1.835862 -2.450436  0.614574 0.61
834 -1.835860 -2.449906  0.614046 0.61
835 -1.835862 -2.449389  0.613526 0.61
836 -1.835857 -2.448911  0.613054 0.61
837 -1.835856 -2.448530  0.612673 0.61
838 -1.835848 -2.448281  0.612433 0.61
839 -1.835847 -2.448231  0.612384 0.61
840 -1.835847 -2.448425  0.612578 0.61
841 -1.835844 -2.448907  0.613063 0.61
842 -1.835849 -2.449732  0.613882 0.61
843 -1.835853 -2.450921  0.615068 0.62
844 -1.835853 -2.452493  0.616640 0.62
845 -1.835851 -2.454453  0.618603 0.62
846 -1.835858 -2.456800  0.620942 0.62
847 -1.835864 -2.459492  0.623628 0.62
848 -1.835868 -2.462480  0.626613 0.63
849 -1.835870 -2.465703  0.629834 0.63
850 -1.835880 -2.469097  0.633217 0.63
851 -1.835883 -2.472565  0.636682 0.64
852 -1.835891 -2.476034  0.640144 0.64
853 -1.835891 -2.479409  0.643518 0.64
854 -1.835893 -2.482616  0.646723 0.65
855 -1.835893 -2.485577  0.649684 0.65
856 -1.835894 -2.488226  0.652332 0.65
857 -1.835908 -2.490513  0.654606 0.65
858 -1.835910 -2.492363  0.656453 0.66
859 -1.835913 -2.493742  0.657829 0.66
860 -1.835915 -2.494614  0.658699 0.66
861 -1.835919 -2.494951  0.659033 0.66
862 -1.835917 -2.494728  0.658811 0.66
863 -1.835908 -2.493929  0.658021 0.66
864 -1.835915 -2.492577  0.656662 0.66
865 -1.835917 -2.490657  0.654740 0.65
866 -1.835913 -2.488185  0.652272 0.65
867 -1.835911 -2.485200  0.649289 0.65
868 -1.835913 -2.481744  0.645831 0.65
869 -1.835906 -2.477857  0.641951 0.64
870 -1.835905 -2.473617  0.637712 0.64
871 -1.835897 -2.469085  0.633188 0.63
872 -1.835900 -2.464360  0.628460 0.63
873 -1.835892 -2.459507  0.623615 0.62
874 -1.835889 -2.454631  0.618742 0.62
875 -1.835879 -2.449806  0.613927 0.61
876 -1.835875 -2.445129  0.609254 0.61
877 -1.835876 -2.440675  0.604799 0.60
878 -1.835873 -2.436501  0.600628 0.60
879 -1.835871 -2.432666  0.596795 0.60
880 -1.835869 -2.429211  0.593342 0.59
881 -1.835866 -2.426163  0.590297 0.59
882 -1.835871 -2.423549  0.587677 0.59
883 -1.835867 -2.421356  0.585489 0.59
884 -1.835863 -2.419590  0.583727 0.58
885 -1.835867 -2.418248  0.582381 0.58
886 -1.835872 -2.417304  0.581432 0.58
887 -1.835879 -2.416734  0.580855 0.58
888 -1.835887 -2.416510  0.580623 0.58
889 -1.835892 -2.416594  0.580702 0.58
890 -1.835898 -2.416952  0.581054 0.58
891 -1.835901 -2.417540  0.581639 0.58
892 -1.835905 -2.418317  0.582412 0.58
893 -1.835914 -2.419237  0.583323 0.58
894 -1.835920 -2.420240  0.584320 0.58
895 -1.835922 -2.421270  0.585348 0.59
896 -1.835931 -2.422281  0.586350 0.59
897 -1.835927 -2.423197  0.587270 0.59
898 -1.835926 -2.423977  0.588051 0.59
899 -1.835927 -2.424567  0.588640 0.59
900 -1.835928 -2.424915  0.588987 0.59
901 -1.835936 -2.424987  0.589050 0.59
902 -1.835936 -2.424729  0.588793 0.59
903 -1.835938 -2.424126  0.588188 0.59
904 -1.835931 -2.423153  0.587222 0.59
905 -1.835928 -2.421819  0.585891 0.59
906 -1.835924 -2.420134  0.584210 0.58
907 -1.835912 -2.418120  0.582209 0.58
908 -1.835908 -2.415842  0.579934 0.58
909 -1.835908 -2.413361  0.577452 0.58
910 -1.835905 -2.410748  0.574843 0.57
911 -1.835910 -2.408106  0.572197 0.57
912 -1.835904 -2.405516  0.569612 0.57
913 -1.835898 -2.403086  0.567188 0.57
914 -1.835898 -2.400915  0.565017 0.57
915 -1.835895 -2.399072  0.563177 0.56
916 -1.835885 -2.397614  0.561729 0.56
917 -1.835887 -2.396597  0.560710 0.56
918 -1.835890 -2.396025  0.560135 0.56
919 -1.835892 -2.395882  0.559990 0.56
920 -1.835891 -2.396133  0.560243 0.56
921 -1.835892 -2.396733  0.560841 0.56
922 -1.835897 -2.397616  0.561719 0.56
923 -1.835899 -2.398702  0.562803 0.56
924 -1.835901 -2.399918  0.564016 0.56
925 -1.835903 -2.401187  0.565283 0.57
926 -1.835912 -2.402446  0.566534 0.57
927 -1.835921 -2.403623  0.567703 0.57
928 -1.835926 -2.404660  0.568734 0.57
929 -1.835928 -2.405508  0.569580 0.57
930 -1.835930 -2.406131  0.570201 0.57
931 -1.835936 -2.406503  0.570567 0.57
932 -1.835935 -2.406589  0.570654 0.57
933 -1.835932 -2.406382  0.570450 0.57
934 -1.835927 -2.405876  0.569949 0.57
935 -1.835926 -2.405085  0.569159 0.57
936 -1.835926 -2.404025  0.568099 0.57
937 -1.835928 -2.402729  0.566801 0.57
938 -1.835924 -2.401236  0.565312 0.57
939 -1.835919 -2.399613  0.563694 0.56
940 -1.835914 -2.397936  0.562022 0.56
941 -1.835910 -2.396291  0.560380 0.56
942 -1.835899 -2.394759  0.558860 0.56
943 -1.835896 -2.393447  0.557551 0.56
944 -1.835897 -2.392433  0.556536 0.56
945 -1.835896 -2.391781  0.555884 0.56
946 -1.835889 -2.391532  0.555643 0.56
947 -1.835889 -2.391724  0.555834 0.56
948 -1.835878 -2.392335  0.556457 0.56
949 -1.835874 -2.393356  0.557482 0.56
950 -1.835883 -2.394744  0.558861 0.56
951 -1.835892 -2.396423  0.560531 0.56
952 -1.835894 -2.398312  0.562418 0.56
953 -1.835896 -2.400345  0.564449 0.56
954 -1.835897 -2.402451  0.566554 0.57
955 -1.835905 -2.404576  0.568671 0.57
956 -1.835910 -2.406656  0.570746 0.57
957 -1.835917 -2.408654  0.572737 0.57
958 -1.835915 -2.410526  0.574610 0.57
959 -1.835919 -2.412257  0.576338 0.58
960 -1.835930 -2.413828  0.577897 0.58
961 -1.835937 -2.415202  0.579265 0.58
962 -1.835946 -2.416364  0.580417 0.58
963 -1.835946 -2.417273  0.581327 0.58
964 -1.835949 -2.417909  0.581960 0.58
965 -1.835952 -2.418231  0.582279 0.58
966 -1.835961 -2.418200  0.582239 0.58
967 -1.835968 -2.417760  0.581792 0.58
968 -1.835969 -2.416859  0.580890 0.58
969 -1.835973 -2.415456  0.579483 0.58
970 -1.835976 -2.413507  0.577531 0.58
971 -1.835983 -2.410988  0.575004 0.58
972 -1.835981 -2.407875  0.571893 0.57
973 -1.835983 -2.404196  0.568213 0.57
974 -1.835984 -2.399994  0.564010 0.56
975 -1.835978 -2.395345  0.559367 0.56
976 -1.835964 -2.390369  0.554405 0.55
977 -1.835948 -2.385226  0.549278 0.55
978 -1.835936 -2.380108  0.544172 0.54
979 -1.835926 -2.375216  0.539289 0.54
980 -1.835920 -2.370753  0.534833 0.53
981 -1.835911 -2.366902  0.530992 0.53
982 -1.835905 -2.363822  0.527917 0.53
983 -1.835900 -2.361614  0.525714 0.53
984 -1.835903 -2.360332  0.524429 0.52
985 -1.835911 -2.359957  0.524046 0.52
986 -1.835911 -2.360408  0.524497 0.52
987 -1.835923 -2.361588  0.525666 0.53
988 -1.835928 -2.363334  0.527406 0.53
989 -1.835936 -2.365490  0.529554 0.53
990 -1.835942 -2.367889  0.531947 0.53
991 -1.835953 -2.370385  0.534432 0.53
992 -1.835966 -2.372845  0.536879 0.54
993 -1.835964 -2.375152  0.539188 0.54
994 -1.835968 -2.377261  0.541294 0.54
995 -1.835969 -2.379136  0.543167 0.54
996 -1.835962 -2.380778  0.544816 0.54
997 -1.835954 -2.382235  0.546281 0.55
998 -1.835942 -2.383575  0.547633 0.55
999 -1.835936 -2.384901  0.548965 0.55
