material_id,original_formula,M_element,composition_reduced,nsites,volume,density,density_atomic,spacegroup_symbol,spacegroup_number,crystal_system,formation_energy_per_atom,energy_above_hull,band_gap,Li_count
mp-25929,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,40,571.8328341812477,4.203076634588401,14.295820854531192,R-3,148,Trigonal,-2.509938990196429,0.039916890249999004,3.7574,3
mp-27069,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,80,1080.6273519731658,4.448262798177532,13.507841899664573,P2_1/c,14,Monoclinic,-2.510777986946429,0.039077893499999,4.0926,3
mp-684042,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,40,555.7061522957953,4.325050594290229,13.892653807394883,C2/c,15,Monoclinic,-2.501184845696428,0.048671034749999,4.026,3
mp-684504,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,80,1136.6204016177678,4.229129128452721,14.207755020222098,P2_1/c,14,Monoclinic,-2.512523591821428,0.037332288624999,4.0294,3
mp-759290,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,40,549.8018548054773,4.371497118881167,13.745046370136933,C2/c,15,Monoclinic,-2.4661688149464283,0.0836870655,3.6043000000000003,3
mp-759381,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,40,505.07864741737427,4.758580146928201,12.626966185434357,C2/m,12,Monoclinic,-2.477896700446429,0.07195917999999901,3.113099999999999,3
mp-759390,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,80,1059.9644371309323,4.534977099313339,13.249555464136654,P2/c,13,Monoclinic,-2.459221797196428,0.09063408324999901,3.1666,3
mp-759734,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,80,1090.351644933083,4.408590999805702,13.629395561663538,C2/c,15,Monoclinic,-2.459954231821429,0.08990164862499901,3.5437000000000003,3
mp-780333,Li3Bi2(PO4)3,Bi,Li3 Bi2 P3 O12,80,1130.2815596104579,4.252846919073859,14.128519495130723,P2_1/c,14,Monoclinic,-2.504520078321428,0.045335802124999006,4.1031,3
mp-26285,LiBi2(PO4)3,Bi,Li1 Bi2 P3 O12,72,1067.3624683840685,4.417157408881906,14.824478727556507,P2_1,4,Monoclinic,-2.289939936236772,0.070334764675926,0.28740000000000004,1
mp-26301,LiBi2(PO4)3,Bi,Li1 Bi2 P3 O12,72,1099.724784147192,4.287170847787432,15.273955335377666,Pc,7,Monoclinic,-2.283144509708994,0.077130191203703,0.24430000000000002,1
mp-504151,LiBi2(PO4)3,Bi,Li1 Bi2 P3 O12,36,552.470342734188,4.266933145996555,15.346398409283,P-1,2,Triclinic,-2.299484700958995,0.060789999953703,0.5567000000000001,1
mp-540013,LiBi2(PO4)3,Bi,Li1 Bi2 P3 O12,36,557.4946987037338,4.2284779085322555,15.485963852881493,C2/c,15,Monoclinic,-2.253349445125661,0.106925255787037,0.0,1
mp-585241,LiBi2(PO4)3,Bi,Li1 Bi2 P3 O12,72,1068.8343574534324,4.411074552672751,14.844921631297673,P2_1/c,14,Monoclinic,-2.298465336097884,0.061809364814815006,0.5374,1
mp-729481,LiBi2(PO4)3,Bi,Li1 Bi2 P3 O12,36,552.4702750339994,4.266933668870258,15.346396528722206,P-1,2,Triclinic,3.425564751541005,5.785839452453704,0.0,1
mp-26087,Li3Co2(PO4)3,Co,Li3 Co2 P3 O12,80,922.0443548314206,3.05152400515119,11.525554435392758,P2_1/c,14,Monoclinic,-2.341008921821429,0.032696838624996005,1.1288,3
mp-584742,Li3Co2(PO4)3,Co,Li3 Co2 P3 O12,80,887.7638182757513,3.16935701214652,11.097047728446892,P2_1/c,14,Monoclinic,-2.276380654446429,0.09732510599999601,1.1195,3
mp-773159,Li3Co2(PO4)3,Co,Li3 Co2 P3 O12,40,450.97124839887596,3.119534219278661,11.2742812099719,C2,5,Monoclinic,-2.279242041446429,0.094463718999995,0.7849,3
mp-774352,Li3Co2(PO4)3,Co,Li3 Co2 P3 O12,80,916.3176654756635,3.070595044265191,11.453970818445793,P2_1/c,14,Monoclinic,-2.301883707321429,0.07182205312499601,0.9897,3
mp-775012,Li3Co2(PO4)3,Co,Li3 Co2 P3 O12,40,444.0821220971782,3.167928117996286,11.102053052429456,R-3,148,Trigonal,-2.278882952696428,0.094822807749996,0.042,3
mp-772654,Li4Co2(PO4)3,Co,Li4 Co2 P3 O12,42,476.23980524686414,3.002419849958703,11.339042982068193,P-1,2,Triclinic,-2.397636342964852,0.05848708428570001,0.411599999999999,4
mp-780762,Li4Co2(PO4)3,Co,Li4 Co2 P3 O12,84,948.6866597633793,3.014423845635796,11.293888806706898,Pbcn,60,Orthorhombic,-2.400110811179138,0.05601261607141501,0.004,4
mp-780435,Li5Co2(PO4)3,Co,Li5 Co2 P3 O12,88,949.4702384489814,3.060492870865829,10.789434527829334,P2_1,4,Monoclinic,-2.450207194231602,0.08084138465909001,2.7403999999999993,5
mp-26088,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,72,901.5232953350333,3.018706320041003,12.52115687965324,P2_1/c,14,Monoclinic,-2.044365894847884,0.12018645050925301,0.0,1
mp-758304,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,36,412.7073466676202,3.2970506719423662,11.464092962989449,R-3c,167,Trigonal,-2.045679663181216,0.11887268217592001,0.0,1
mp-758309,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,72,917.6545192655065,2.9656412213501673,12.745201656465367,P2_1,4,Monoclinic,-2.033847803042328,0.13070454231480902,0.0,1
mp-764732,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,72,917.774349070204,2.965254010475601,12.746865959308389,Pc,7,Monoclinic,-1.995279845542327,0.16927249981480902,0.0,1
mp-776223,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,36,462.2951271913325,2.943394716083307,12.841531310870346,P-1,2,Triclinic,-2.025040870403439,0.139511474953698,0.0,1
mp-863391,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,72,910.5431049860981,2.988803115843271,12.646432013695808,P2_1,4,Monoclinic,-2.053415324292328,0.11113702106480901,0.0,1
mp-889033,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,36,462.2951271913325,2.943394716083307,12.841531310870346,P-1,2,Triclinic,2.391071685429894,4.5556240307870315,0.0,1
mp-777909,Li2Cr2(PO4)3,Cr,Li2 Cr2 P3 O12,38,457.2797910159498,2.925323609800742,12.033678710946047,C2/c,15,Monoclinic,-2.5638696971365897,0.032257115763158005,0.0,2
mp-850906,Li2Cr2(PO4)3,Cr,Li2 Cr2 P3 O12,38,454.03310725223884,2.946241909624777,11.9482396645326,P-1,2,Triclinic,-2.567449980294485,0.028676832605264,0.0,2
mp-1177733,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,1009.836684766803,2.6949763120964043,12.622958559585038,C2/c,15,Monoclinic,-2.5747164516964283,0.09283614099999901,2.2562,3
mp-25837,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,895.1578831496014,3.040230104388942,11.189473539370017,P2/c,13,Monoclinic,-2.631389426196427,0.0361631665,2.9463,3
mp-26045,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,885.341398542044,3.073939554858912,11.06676748177555,P2_1/c,14,Monoclinic,-2.663927587946427,0.0036250047500000003,3.0477,3
mp-26079,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,923.8097331176899,2.945937726102947,11.547621663971125,P2_1/c,14,Monoclinic,-2.662338173196428,0.005214419499999,2.8178,3
