,volume,density,density_atomic,formation_energy_per_atom,energy_above_hull,Li_count,O_mass_frac,total_elec_neg,mean_radius,band_gap
0,571.8328341812477,4.203076634588401,14.295820854531192,-2.509938990196429,0.039916890249999,3,0.265294128550211,54.83,0.8875,3.7574
1,1080.6273519731658,4.448262798177532,13.507841899664571,-2.510777986946429,0.039077893499999,3,0.265294128550211,54.83,0.8875,4.0926
2,555.7061522957953,4.325050594290229,13.892653807394884,-2.501184845696428,0.048671034749999,3,0.265294128550211,54.83,0.8875,4.026
3,1136.6204016177678,4.229129128452721,14.207755020222098,-2.512523591821428,0.037332288624999,3,0.265294128550211,54.83,0.8875,4.0294
4,549.8018548054773,4.371497118881167,13.745046370136931,-2.4661688149464283,0.0836870655,3,0.265294128550211,54.83,0.8875,3.6043
5,505.0786474173743,4.758580146928201,12.626966185434355,-2.477896700446429,0.071959179999999,3,0.265294128550211,54.83,0.8875,3.113099999999999
6,1059.9644371309323,4.534977099313339,13.249555464136654,-2.459221797196428,0.090634083249999,3,0.265294128550211,54.83,0.8875,3.1666
7,1090.351644933083,4.408590999805702,13.629395561663538,-2.459954231821429,0.089901648624999,3,0.265294128550211,54.83,0.8875,3.5437000000000003
8,1130.281559610458,4.252846919073859,14.128519495130725,-2.504520078321428,0.045335802124999,3,0.265294128550211,54.83,0.8875,4.1031
9,1067.3624683840685,4.417157408881906,14.824478727556508,-2.289939936236772,0.070334764675926,1,0.2704825346780136,52.870000000000005,0.825,0.2874
10,1099.724784147192,4.287170847787432,15.273955335377666,-2.283144509708994,0.077130191203703,1,0.2704825346780136,52.870000000000005,0.825,0.2443
11,552.470342734188,4.266933145996555,15.346398409283,-2.299484700958995,0.060789999953703,1,0.2704825346780136,52.870000000000005,0.825,0.5567000000000001
12,557.4946987037338,4.228477908532256,15.485963852881492,-2.253349445125661,0.106925255787037,1,0.2704825346780136,52.870000000000005,0.825,0.0
13,1068.8343574534324,4.411074552672751,14.844921631297671,-2.298465336097884,0.061809364814815,1,0.2704825346780136,52.870000000000005,0.825,0.5374
14,552.4702750339994,4.266933668870258,15.346396528722206,3.425564751541005,5.785839452453704,1,0.2704825346780136,52.870000000000005,0.825,0.0
15,922.0443548314206,3.05152400515119,11.525554435392758,-2.341008921821429,0.032696838624996,3,0.4532370740036137,54.55,0.8625,1.1288
16,887.7638182757513,3.16935701214652,11.097047728446892,-2.276380654446429,0.097325105999996,3,0.4532370740036137,54.55,0.8625,1.1195
17,450.971248398876,3.119534219278661,11.2742812099719,-2.279242041446429,0.094463718999995,3,0.4532370740036137,54.55,0.8625,0.7849
18,916.3176654756636,3.070595044265191,11.453970818445791,-2.301883707321429,0.071822053124996,3,0.4532370740036137,54.55,0.8625,0.9897
19,444.0821220971782,3.167928117996286,11.102053052429456,-2.278882952696428,0.094822807749996,3,0.4532370740036137,54.55,0.8625,0.042
20,476.23980524686414,3.002419849958703,11.339042982068191,-2.397636342964852,0.0584870842857,4,0.4459302364850222,55.53,0.8904761904761904,0.411599999999999
21,948.6866597633792,3.014423845635796,11.293888806706898,-2.400110811179138,0.056012616071415,4,0.4459302364850222,55.53,0.8904761904761904,0.004
22,949.4702384489814,3.060492870865829,10.789434527829334,-2.450207194231602,0.08084138465909,5,0.4388552547056442,56.510000000000005,0.9159090909090908,2.7404
23,901.5232953350333,3.018706320041003,12.52115687965324,-2.044365894847884,0.120186450509253,1,0.4685934500538605,52.59,0.7972222222222222,0.0
24,412.7073466676202,3.2970506719423662,11.464092962989447,-2.045679663181216,0.11887268217592,1,0.4685934500538605,52.59,0.7972222222222222,0.0
25,917.6545192655065,2.965641221350168,12.745201656465367,-2.033847803042328,0.130704542314809,1,0.4685934500538605,52.59,0.7972222222222222,0.0
26,917.774349070204,2.965254010475601,12.746865959308389,-1.995279845542327,0.169272499814809,1,0.4685934500538605,52.59,0.7972222222222222,0.0
27,462.2951271913325,2.943394716083307,12.841531310870346,-2.025040870403439,0.139511474953698,1,0.4685934500538605,52.59,0.7972222222222222,0.0
28,910.543104986098,2.988803115843271,12.646432013695808,-2.053415324292328,0.111137021064809,1,0.4685934500538605,52.59,0.7972222222222222,0.0
29,462.2951271913325,2.943394716083307,12.841531310870346,2.391071685429894,4.555624030787032,1,0.4685934500538605,52.59,0.7972222222222222,0.0
30,457.2797910159498,2.925323609800742,12.033678710946049,-2.5638696971365897,0.032257115763158,2,0.4766593435639287,53.13,0.8368421052631578,0.0
31,454.0331072522389,2.946241909624777,11.9482396645326,-2.567449980294485,0.028676832605264,2,0.4766593435639287,53.13,0.8368421052631578,0.0
32,1009.836684766803,2.6949763120964043,12.622958559585038,-2.5747164516964283,0.092836140999999,3,0.4685845180224681,54.11,0.8674999999999999,2.2562
33,895.1578831496014,3.040230104388942,11.189473539370017,-2.631389426196427,0.0361631665,3,0.4685845180224681,54.11,0.8674999999999999,2.9463
34,885.341398542044,3.073939554858912,11.06676748177555,-2.663927587946427,0.00362500475,3,0.4685845180224681,54.11,0.8674999999999999,3.0477
35,923.80973311769,2.945937726102947,11.547621663971125,-2.662338173196428,0.005214419499999,3,0.4685845180224681,54.11,0.8674999999999999,2.8178
36,404.6540981670349,3.362731227559582,10.116352454175871,-2.623978575946427,0.04357401675,3,0.4685845180224681,54.11,0.8674999999999999,1.8989
37,911.1449458488004,2.986885848329244,11.389311823110006,-2.634305192321428,0.033247400375,3,0.4685845180224681,54.11,0.8674999999999999,2.8815
38,446.4172877222924,3.048141301178149,11.16043219305731,-2.637023710946427,0.03052888175,3,0.4685845180224681,54.11,0.8674999999999999,2.9382
