material_id,original_formula,M_element,composition_reduced,nsites,volume,density,density_atomic,spacegroup_symbol,spacegroup_number,crystal_system,formation_energy_per_atom,energy_above_hull,band_gap,Li_count,a,b,c,alpha,beta,gamma,Li_mass_frac,P_mass_frac,O_mass_frac,M_mass_frac,total_elec_neg,mean_radius
mp-776223,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,36,462.2951271913325,2.943394716083307,12.841531310870346,P-1,2,Triclinic,-2.025040870403439,0.139511474953698,0.0,1,8.391702,8.40822127442719,8.975521544194354,90.248541015889,117.76115097761989,119.87769263146642,0.016940776616747324,0.22679134837442597,0.4685934500538605,0.28767442495496626,52.59,0.7972222222222222
mp-863391,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,72,910.543104986098,2.988803115843271,12.646432013695808,P2_1,4,Monoclinic,-2.053415324292328,0.111137021064809,0.0,1,8.580157390382164,12.128144816387973,8.75008604,90.0,90.0,90.1476409365659,0.016940776616747324,0.22679134837442597,0.4685934500538605,0.28767442495496626,52.59,0.7972222222222222
mp-889033,LiCo2(PO4)3,Co,Li1 Co2 P3 O12,36,462.2951271913325,2.943394716083307,12.841531310870346,P-1,2,Triclinic,2.391071685429894,4.555624030787032,0.0,1,8.391702,8.40822127442719,8.975512626951955,117.820931612084,90.14340696561621,119.87769263146642,0.016940776616747324,0.22679134837442597,0.4685934500538605,0.28767442495496626,52.59,0.7972222222222222
mp-777909,Li2Cr2(PO4)3,Cr,Li2 Cr2 P3 O12,38,457.2797910159498,2.925323609800742,12.033678710946049,C2/c,15,Monoclinic,-2.5638696971365897,0.032257115763158,0.0,2,8.62364593505508,8.62364593505508,8.693991249598197,59.81632948223711,59.81632948223711,60.40596677868744,0.034464756008321454,0.2306951051699652,0.47665934356392875,0.25818079525778465,53.13,0.8368421052631578
mp-850906,Li2Cr2(PO4)3,Cr,Li2 Cr2 P3 O12,38,454.0331072522389,2.946241909624777,11.9482396645326,P-1,2,Triclinic,-2.567449980294485,0.028676832605264,0.0,2,8.31952,8.365661707933091,8.904643451834609,62.191809077384676,62.38856399513244,60.34550516397505,0.034464756008321454,0.2306951051699652,0.47665934356392875,0.25818079525778465,53.13,0.8368421052631578
mp-1177733,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,1009.836684766803,2.6949763120964043,12.622958559585038,C2/c,15,Monoclinic,-2.5747164516964283,0.092836140999999,2.2562,3,9.103598577346213,9.103598577346213,16.363626909314757,65.18496720813246,65.18496720813246,58.086108276330954,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-25837,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,895.1578831496014,3.040230104388942,11.189473539370017,P2/c,13,Monoclinic,-2.631389426196427,0.0361631665,2.9463,3,8.702882,8.428616,12.212491126336879,87.78714390252131,90.0,90.0,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-26045,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,885.341398542044,3.073939554858912,11.06676748177555,P2_1/c,14,Monoclinic,-2.663927587946427,0.00362500475,3.0477,3,8.72535,8.455292,14.62855783088767,55.1195823391947,90.0,90.0,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-26079,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,923.80973311769,2.945937726102947,11.547621663971125,P2_1/c,14,Monoclinic,-2.662338173196428,0.005214419499999,2.8178,3,8.727649,8.671997,14.979047736251628,54.57332446116118,90.0,90.0,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-26489,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,404.6540981670349,3.362731227559582,10.116352454175871,C2/m,12,Monoclinic,-2.623978575946427,0.04357401675,1.8989,3,4.8538666674638895,4.8538666674638895,18.742404425927695,89.63627527333492,89.63627527333492,66.40846776415495,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
